"","id","Name","Age","Class","Ticket","Embarked","Job","Boat"
"1","","ABBING, Mr Anthony","42","3rd Class Passenger","5547£7 11s","Southampton","Blacksmith",""
"2","","ABBOTT, Mr Rossmore Edward","16","3rd Class Passenger","CA2673£20 5s","Southampton","Jeweller","[190]"
"3","","ABBOTT, Mr Eugene Joseph","14","3rd Class Passenger","CA2673£20 5s","Southampton","Scholar",""
"4","","ABBOTT, Mr Ernest Owen","21","Victualling Crew","","Southampton","Lounge Pantry Steward",""
"5","","ABELSON, Mr Samuel","30","2nd Class Passenger","3381£24","Cherbourg","",""
"6","","ABRAMS, Mr William Thomas","33","Engineering Crew","","Southampton","Fireman",""
"7","","ADAMS, Mr John","26","3rd Class Passenger","341826£8 1s","Southampton","","[103]"
"8","","ADAMS, Mr Robert John","26","Engineering Crew","","Southampton","Fireman",""
"9","","AHIER, Mr Percy Snowden","20","Victualling Crew","","Southampton","Saloon Steward",""
"10","","AHLIN, Mrs Johanna Persdotter","40","3rd Class Passenger","7546£9 9s 6d","Southampton","",""
"11","","AKERMAN, Mr Albert Edward","31","Victualling Crew","","Southampton","3rd Class Steward",""
"12","","AKERMAN, Mr Joseph Francis","35","Victualling Crew","","Southampton","Assistant Pantryman Steward","[205]"
"13","","ALDWORTH, Mr Charles Augustus","30","2nd Class PassengerServant","248744£13","Southampton","Chauffeur",""
"14","","ALEXANDER, Mr William","23","3rd Class Passenger","3474£7 17s 9d","Southampton","General Labourer",""
"15","","ALHOMÃ¤KI, Mr Ilmari Rudolf","19","3rd Class Passenger","3101287£7 18s 6d","Southampton","General Labourer",""
"16","","ALI, Mr Ahmed","24","3rd Class Passenger","3101311£7 1s","Southampton","General Labourer",""
"17","","ALI, Mr William","25","3rd Class Passenger","3101312£7 1s","Southampton","General Labourer","[79]"
"18","","ALLAN, Mr Robert Spencer","36","Victualling Crew","","Southampton","Bed Room Steward",""
"19","","ALLARIA, Sig. Battista Antonio","22","Restaurant Staff","","Southampton","Assistant Waiter","[221]"
"20","","ALLEN, Mr William Henry","35","3rd Class Passenger","373450£8 1s","Southampton","Tool Maker",""
"21","","ALLEN, Mr Henry","32","Engineering Crew","","Southampton","Fireman","[145]"
"22","","ALLEN, Mr George","26","Victualling Crew","","Southampton","Scullion",""
"23","","ALLEN, Mr Frederick","17","Victualling Crew","","Southampton","Lift Steward",""
"24","","ALLISON, Mr Hudson Joshua Creighton","30","1st Class Passenger","113781£151 16s","Southampton","Businessman","[135]"
"25","","ALLISON, Mrs Bessie Waldo","25","1st Class Passenger","113781£151 16s","Southampton","",""
"26","","ALLISON, Miss Helen Loraine","2","1st Class Passenger","113781£151 16s","Southampton","",""
"27","","ALLSOP, Mr Alfred Samuel","34","Engineering Crew","","Belfast","Electrician",""
"28","","ALLSOP, Mr Frank Richard","41","Victualling Crew","","Belfast","Saloon Steward",""
"29","","ALLUM, Mr Owen George","15","3rd Class Passenger","2223£8 6s","Southampton","Gardener","[259]"
"30","","ANDERSEN, Mr Albert Karvin","33","3rd Class Passenger","4001£22 10s 6d","Southampton","Engineer","[260]"
"31","","ANDERSON, Mr Walter J.","48","Victualling Crew","","Southampton","Bed Room Steward","[146]"
"32","","ANDERSSON, Mr Johan Samuel","26","3rd Class Passenger","347075£7 15s 6d","Southampton","General Labourer",""
"33","","ANDERSSON, Miss Ida Augusta Margareta","38","3rd Class Passenger","347091£7 15s 6d","Southampton","",""
"34","","ANDERSSON, Mr Anders Johan","39","3rd Class Passenger","347082£31 5s 6d","Southampton","General Labourer",""
"35","","ANDERSSON, Mrs Alfrida Konstantia Brogren","39","3rd Class Passenger","347082£31 5s 6d","Southampton","",""
"36","","ANDERSSON, Miss Sigrid Elisabeth","11","3rd Class Passenger","347082£31 5s 6d","Southampton","",""
