"id","PassengerId","SibSp","Parch","CabinCat","TicketId","Age","Class.1","Class.2","Class.3","Gender","Fare.1","Fare.2","Fare.3","Embarked.C","Embarked.Q","Embarked.S","Embarked.NA","Survived"
"1",1,1,0,0,524,22,0,0,1,1,1,0,0,0,0,1,0,0
"2",2,1,0,3,597,38,1,0,0,0,0,1,0,1,0,0,0,1
"3",3,0,0,0,670,26,0,0,1,0,1,0,0,0,0,1,0,1
"4",4,1,0,3,50,35,1,0,0,0,0,1,0,0,0,1,0,1
"5",5,0,0,0,473,35,0,0,1,1,1,0,0,0,0,1,0,0
"6",6,0,0,0,276,29.6991176470588,0,0,1,1,1,0,0,0,1,0,0,0
"7",7,0,0,5,86,54,1,0,0,1,0,1,0,0,0,1,0,0
"8",8,3,1,0,396,2,0,0,1,1,0,1,0,0,0,1,0,0
"9",9,0,2,0,345,27,0,0,1,0,0,1,0,0,0,1,0,1
"10",10,1,0,0,133,14,0,1,0,0,0,1,0,1,0,0,0,1
"11",11,1,1,7,617,4,0,0,1,0,0,1,0,0,0,1,0,1
"12",12,0,0,3,39,58,1,0,0,0,0,1,0,0,0,1,0,1
"13",13,0,0,0,536,20,0,0,1,1,1,0,0,0,0,1,0,0
"14",14,1,3,0,334,39,0,0,1,1,0,1,0,0,0,1,0,0
"15",15,0,0,0,414,14,0,0,1,0,1,0,0,0,0,1,0,0
"16",16,0,0,0,154,55,0,1,0,0,0,1,0,0,0,1,0,1
"17",17,3,1,0,481,2,0,0,1,1,0,1,0,0,1,0,0,0
"18",18,0,0,0,152,29.6991176470588,0,1,0,1,0,1,0,0,0,1,0,1
"19",19,1,0,0,302,31,0,0,1,0,0,1,0,0,0,1,0,0
"20",20,0,0,0,185,29.6991176470588,0,0,1,0,1,0,0,1,0,0,0,1
"21",21,0,0,0,140,35,0,1,0,1,0,1,0,0,0,1,0,0
"22",22,0,0,4,153,34,0,1,0,1,0,1,0,0,0,1,0,1
"23",23,0,0,0,279,15,0,0,1,0,1,0,0,0,1,0,0,1
"24",24,0,0,1,43,28,1,0,0,1,0,1,0,0,0,1,0,1
"25",25,3,1,0,396,8,0,0,1,0,0,1,0,0,0,1,0,0
"26",26,1,3,0,330,38,0,0,1,0,0,1,0,0,0,1,0,1
"27",27,0,0,0,180,29.6991176470588,0,0,1,1,1,0,0,1,0,0,0,0
"28",28,3,2,3,96,19,1,0,0,1,0,0,1,0,0,1,0,0
"29",29,0,0,0,284,9,0,0,1,0,1,0,0,0,1,0,0,1
"30",30,0,0,0,363,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"31",31,0,0,0,599,40,1,0,0,1,0,1,0,1,0,0,0,0
"32",32,1,0,2,587,29.6991176470588,1,0,0,0,0,0,1,1,0,0,0,1
"33",33,0,0,0,289,9,0,0,1,0,1,0,0,0,1,0,0,1
"34",34,0,0,0,550,66,0,1,0,1,0,1,0,0,0,1,0,0
"35",35,1,0,0,601,28,1,0,0,1,0,1,0,1,0,0,0,0
"36",36,1,0,0,44,42,1,0,0,1,0,1,0,0,0,1,0,0
"37",37,0,0,0,203,29.6991176470588,0,0,1,1,1,0,0,1,0,0,0,1
"38",38,0,0,0,515,21,0,0,1,1,1,0,0,0,0,1,0,0
"39",39,2,0,0,303,18,0,0,1,0,0,1,0,0,0,1,0,0
"40",40,1,0,0,187,14,0,0,1,0,0,1,0,1,0,0,0,1
"41",41,1,0,0,508,40,0,0,1,0,1,0,0,0,0,1,0,0
"42",42,1,0,0,54,27,0,1,0,0,0,1,0,0,0,1,0,0
"43",43,0,0,0,392,29.6991176470588,0,0,1,1,1,0,0,1,0,0,0,0
"44",44,1,2,0,630,3,0,1,0,0,0,1,0,1,0,0,0,1
"45",45,0,0,0,283,19,0,0,1,0,1,0,0,0,1,0,0,1
"46",46,0,0,0,618,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"47",47,1,0,0,463,29.6991176470588,0,0,1,1,0,1,0,0,1,0,0,0
"48",48,0,0,0,77,9,0,0,1,0,1,0,0,0,1,0,0,1
"49",49,2,0,0,191,29.6991176470588,0,0,1,1,0,1,0,1,0,0,0,0
"50",50,1,0,0,378,18,0,0,1,0,0,1,0,0,0,1,0,0
"51",51,3,1,0,250,7,0,0,1,1,0,1,0,0,0,1,0,0
"52",52,0,0,0,523,21,0,0,1,1,1,0,0,0,0,1,0,0
"53",53,1,0,4,588,49,1,0,0,0,0,1,0,1,0,0,0,1
"54",54,1,0,0,240,29,0,1,0,0,0,1,0,0,0,1,0,1
"55",55,0,1,2,30,65,1,0,0,1,0,1,0,1,0,0,0,0
"56",56,0,0,3,95,29.6991176470588,1,0,0,1,0,1,0,0,0,1,0,1
"57",57,0,0,0,556,21,0,1,0,0,0,1,0,0,0,1,0,1
"58",58,0,0,0,216,28.5,0,0,1,1,1,0,0,1,0,0,0,0
"59",59,1,2,0,562,5,0,1,0,0,0,1,0,0,0,1,0,1
"60",60,3,2,0,567,11,0,0,1,1,0,1,0,0,0,1,0,0
"61",61,0,0,0,198,22,0,0,1,1,1,0,0,1,0,0,0,0
"62",62,0,0,2,33,38,1,0,0,0,0,1,0,0,0,0,1,1
"63",63,1,0,3,458,45,1,0,0,1,0,1,0,0,0,1,0,0
"64",64,3,2,0,338,4,0,0,1,1,0,1,0,0,0,1,0,0
"65",65,0,0,0,602,29.6991176470588,1,0,0,1,0,1,0,1,0,0,0,0
"66",66,1,1,0,190,29.6991176470588,0,0,1,1,0,1,0,1,0,0,0,1
"67",67,0,0,6,554,29,0,1,0,0,0,1,0,0,0,1,0,1
"68",68,0,0,0,624,19,0,0,1,1,1,0,0,0,0,1,0,0
"69",69,3,2,0,249,17,0,0,1,0,1,0,0,0,0,1,0,1
"70",70,2,0,0,271,26,0,0,1,1,1,0,0,0,0,1,0,0
"71",71,0,0,0,558,32,0,1,0,1,0,1,0,0,0,1,0,0
"72",72,3,2,0,567,16,0,0,1,0,0,1,0,0,0,1,0,0
"73",73,0,0,0,622,21,0,1,0,1,0,1,0,0,0,1,0,0
"74",74,1,0,0,205,26,0,0,1,1,0,1,0,1,0,0,0,0
"75",75,0,0,0,81,32,0,0,1,1,0,1,0,0,0,1,0,1
"76",76,0,0,6,348,25,0,0,1,1,1,0,0,0,0,1,0,0
"77",77,0,0,0,356,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"78",78,0,0,0,474,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"79",79,0,2,0,159,0.83,0,1,0,1,0,1,0,0,0,1,0,1
"80",80,0,0,0,433,30,0,0,1,0,0,1,0,0,0,1,0,1
"81",81,0,0,0,305,22,0,0,1,1,1,0,0,0,0,1,0,0
"82",82,0,0,0,312,29,0,0,1,1,1,0,0,0,0,1,0,1
"83",83,0,0,0,281,9,0,0,1,0,1,0,0,0,1,0,0,1
"84",84,0,0,0,26,28,1,0,0,1,0,1,0,0,0,1,0,0
"85",85,0,0,0,638,17,0,1,0,0,0,1,0,0,0,1,0,1
"86",86,3,0,0,248,33,0,0,1,0,0,1,0,0,0,1,0,1
"87",87,1,3,0,677,16,0,0,1,1,0,1,0,0,0,1,0,0
"88",88,0,0,0,653,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"89",89,3,2,3,96,23,1,0,0,0,0,0,1,0,0,1,0,1
"90",90,0,0,0,298,24,0,0,1,1,1,0,0,0,0,1,0,0
"91",91,0,0,0,299,29,0,0,1,1,1,0,0,0,0,1,0,0
"92",92,0,0,0,342,20,0,0,1,1,1,0,0,0,0,1,0,0
"93",93,1,0,5,679,46,1,0,0,1,0,1,0,0,0,1,0,0
"94",94,1,2,0,549,26,0,0,1,1,0,1,0,0,0,1,0,0
"95",95,0,0,0,429,59,0,0,1,1,1,0,0,0,0,1,0,0
"96",96,0,0,0,476,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"97",97,0,0,1,608,71,1,0,0,1,0,1,0,1,0,0,0,0
"98",98,0,1,4,613,23,1,0,0,1,0,1,0,1,0,0,0,1
"99",99,0,1,0,118,34,0,1,0,0,0,1,0,0,0,1,0,1
"100",100,1,0,0,151,34,0,1,0,1,0,1,0,0,0,1,0,0
"101",101,0,0,0,385,28,0,0,1,0,1,0,0,0,0,1,0,0
"102",102,0,0,0,362,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"103",103,0,1,4,418,21,1,0,0,1,0,1,0,0,0,1,0,0
"104",104,0,0,0,506,33,0,0,1,1,1,0,0,0,0,1,0,0
"105",105,2,0,0,246,37,0,0,1,1,1,0,0,0,0,1,0,0
"106",106,0,0,0,355,28,0,0,1,1,1,0,0,0,0,1,0,0
"107",107,0,0,0,297,21,0,0,1,0,1,0,0,0,0,1,0,1
"108",108,0,0,0,255,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,1
"109",109,0,0,0,389,38,0,0,1,1,1,0,0,0,0,1,0,0
"110",110,1,0,0,470,9,0,0,1,0,0,1,0,0,1,0,0,1
"111",111,0,0,3,3,47,1,0,0,1,0,1,0,0,0,1,0,0
"112",112,1,0,0,194,14.5,0,0,1,0,0,1,0,1,0,0,0,0
"113",113,0,0,0,275,22,0,0,1,1,1,0,0,0,0,1,0,0
"114",114,1,0,0,492,20,0,0,1,0,1,0,0,0,0,1,0,0
"115",115,0,0,0,177,17,0,0,1,0,0,1,0,1,0,0,0,0
"116",116,0,0,0,667,21,0,0,1,1,1,0,0,0,0,1,0,0
"117",117,0,0,0,461,70.5,0,0,1,1,1,0,0,0,1,0,0,0
"118",118,1,0,0,54,29,0,1,0,1,0,1,0,0,0,1,0,0
"119",119,0,1,2,586,24,1,0,0,1,0,0,1,1,0,0,0,0
"120",120,3,2,0,334,2,0,0,1,0,0,1,0,0,0,1,0,0
"121",121,2,0,0,622,21,0,1,0,1,0,1,0,0,0,1,0,0
"122",122,0,0,0,541,29.6991176470588,0,0,1,1,1,0,0,0,0,1,0,0
"123",123,1,0,0,133,32.5,0,1,0,1,0,1,0,1,0,0,0,0
"124",124,0,0,5,220,32.5,0,1,0,0,0,1,0,0,0,1,0,1
"125",125,0,1,4,418,54,1,0,0,1,0,1,0,0,0,1,0,0
"126",126,1,0,0,187,12,0,0,1,1,0,1,0,1,0,0,0,1
"127",127,0,0,0,464,29.6991176470588,0,0,1,1,1,0,0,0,1,0,0,0
"128",128,0,0,0,542,24,0,0,1,1,1,0,0,0,0,1,0,1
"129",129,1,1,6,197,9,0,0,1,0,0,1,0,1,0,0,0,1
"130",130,0,0,0,319,45,0,0,1,1,1,0,0,0,0,1,0,0
"131",131,0,0,0,381,33,0,0,1,1,1,0,0,1,0,0,0,0
"132",132,0,0,0,641,20,0,0,1,1,1,0,0,0,0,1,0,0
"133",133,1,0,0,538,47,0,0,1,0,0,1,0,0,0,1,0,0
"134",134,1,0,0,112,29,0,1,0,0,0,1,0,0,0,1,0,1
"135",135,0,0,0,553,25,0,1,0,1,0,1,0,0,0,1,0,0
"136",136,0,0,0,632,23,0,1,0,1,0,1,0,1,0,0,0,0
"137",137,0,2,4,56,19,1,0,0,0,0,1,0,0,0,1,0,1
"138",138,1,0,3,50,37,1,0,0,1,0,1,0,0,0,1,0,0
"139",139,0,0,0,505,16,0,0,1,1,1,0,0,0,0,1,0,0
"140",140,0,0,2,593,24,1,0,0,1,0,1,0,1,0,0,0,0
"141",141,0,2,0,204,29.6991176470588,0,0,1,0,0,1,0,1,0,0,0,0
"142",142,0,0,0,333,22,0,0,1,0,1,0,0,0,0,1,0,1
"143",143,1,0,0,669,24,0,0,1,0,0,1,0,0,0,1,0,1
"144",144,0,0,0,439,19,0,0,1,1,1,0,0,0,1,0,0,0
"145",145,0,0,0,119,18,0,1,0,1,0,1,0,0,0,1,0,0
"146",146,1,1,0,559,19,0,1,0,1,0,1,0,0,0,1,0,0
"147",147,0,0,0,406,27,0,0,1,1,1,0,0,0,0,1,0,1
"148",148,2,2,0,677,9,0,0,1,0,0,1,0,0,0,1,0,0
"149",149,0,2,6,114,36.5,0,1,0,1,0,1,0,0,0,1,0,0
