@relation df
@attribute SibSp numeric
@attribute Parch numeric
@attribute Class.1 numeric
@attribute Class.2 numeric
@attribute Class.3 numeric
@attribute Gender numeric
@attribute Fare numeric
@attribute Embarked.C numeric
@attribute Embarked.Q numeric
@attribute Embarked.S numeric
@attribute Child numeric
@attribute Adult numeric
@attribute Age.NA numeric
@attribute Survived {0,1}
@data
1,0,0,0,1,1,7.25,0,0,1,0,1,0,0
1,0,1,0,0,0,71.2833,1,0,0,0,1,0,1
0,0,0,0,1,0,7.925,0,0,1,0,1,0,1
1,0,1,0,0,0,53.1,0,0,1,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
0,0,0,0,1,1,8.4583,0,1,0,0,0,1,0
0,0,1,0,0,1,51.8625,0,0,1,0,1,0,0
3,1,0,0,1,1,21.075,0,0,1,1,0,0,0
0,2,0,0,1,0,11.1333,0,0,1,0,1,0,1
1,0,0,1,0,0,30.0708,1,0,0,0,1,0,1
1,1,0,0,1,0,16.7,0,0,1,0,1,0,1
0,0,1,0,0,0,26.55,0,0,1,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
1,5,0,0,1,1,31.275,0,0,1,0,1,0,0
0,0,0,0,1,0,7.8542,0,0,1,0,1,0,0
0,0,0,1,0,0,16,0,0,1,0,1,0,1
4,1,0,0,1,1,29.125,0,1,0,1,0,0,0
0,0,0,1,0,1,13,0,0,1,0,0,1,1
1,0,0,0,1,0,18,0,0,1,0,1,0,0
0,0,0,0,1,0,7.225,1,0,0,0,0,1,1
0,0,0,1,0,1,26,0,0,1,0,1,0,0
0,0,0,1,0,1,13,0,0,1,0,1,0,1
0,0,0,0,1,0,8.0292,0,1,0,0,1,0,1
0,0,1,0,0,1,35.5,0,0,1,0,1,0,1
3,1,0,0,1,0,21.075,0,0,1,0,1,0,0
1,5,0,0,1,0,31.3875,0,0,1,0,1,0,1
0,0,0,0,1,1,7.225,1,0,0,0,0,1,0
3,2,1,0,0,1,263,0,0,1,0,1,0,0
0,0,0,0,1,0,7.8792,0,1,0,0,0,1,1
0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
0,0,1,0,0,1,27.7208,1,0,0,0,1,0,0
1,0,1,0,0,0,146.5208,1,0,0,0,0,1,1
0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
1,0,1,0,0,1,82.1708,1,0,0,0,1,0,0
1,0,1,0,0,1,52,0,0,1,0,1,0,0
0,0,0,0,1,1,7.2292,1,0,0,0,0,1,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
2,0,0,0,1,0,18,0,0,1,0,1,0,0
1,0,0,0,1,0,11.2417,1,0,0,0,1,0,1
1,0,0,0,1,0,9.475,0,0,1,0,1,0,0
1,0,0,1,0,0,21,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,1,0,0,0,0,1,0
1,2,0,1,0,0,41.5792,1,0,0,0,1,0,1
0,0,0,0,1,0,7.8792,0,1,0,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
1,0,0,0,1,1,15.5,0,1,0,0,0,1,0
0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
2,0,0,0,1,1,21.6792,1,0,0,0,0,1,0
1,0,0,0,1,0,17.8,0,0,1,0,1,0,0
4,1,0,0,1,1,39.6875,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8,0,0,1,0,1,0,0
1,0,1,0,0,0,76.7292,1,0,0,0,1,0,1
1,0,0,1,0,0,26,0,0,1,0,1,0,1
0,1,1,0,0,1,61.9792,1,0,0,0,1,0,0
0,0,1,0,0,1,35.5,0,0,1,0,0,1,1
0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
0,0,0,0,1,1,7.2292,1,0,0,0,1,0,0
1,2,0,1,0,0,27.75,0,0,1,0,1,0,1
5,2,0,0,1,1,46.9,0,0,1,0,1,0,0
0,0,0,0,1,1,7.2292,1,0,0,0,1,0,0
0,0,1,0,0,0,80,0,0,0,0,1,0,1
1,0,1,0,0,1,83.475,0,0,1,0,1,0,0
3,2,0,0,1,1,27.9,0,0,1,0,1,0,0
0,0,1,0,0,1,27.7208,1,0,0,0,0,1,0
1,1,0,0,1,1,15.2458,1,0,0,0,0,1,1
0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
0,0,0,0,1,1,8.1583,0,0,1,0,1,0,0
4,2,0,0,1,0,7.925,0,0,1,0,1,0,1
2,0,0,0,1,1,8.6625,0,0,1,0,1,0,0
0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
5,2,0,0,1,0,46.9,0,0,1,0,1,0,0
0,0,0,1,0,1,73.5,0,0,1,0,1,0,0
1,0,0,0,1,1,14.4542,1,0,0,0,1,0,0
0,0,0,0,1,1,56.4958,0,0,1,0,1,0,1
0,0,0,0,1,1,7.65,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
0,2,0,1,0,1,29,0,0,1,1,0,0,1
0,0,0,0,1,0,12.475,0,0,1,0,1,0,1
0,0,0,0,1,1,9,0,0,1,0,1,0,0
0,0,0,0,1,1,9.5,0,0,1,0,1,0,1
0,0,0,0,1,0,7.7875,0,1,0,0,0,1,1
0,0,1,0,0,1,47.1,0,0,1,0,1,0,0
0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
3,0,0,0,1,0,15.85,0,0,1,0,1,0,1
1,3,0,0,1,1,34.375,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
3,2,1,0,0,0,263,0,0,1,0,1,0,1
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8542,0,0,1,0,1,0,0
1,0,1,0,0,1,61.175,0,0,1,0,1,0,0
1,2,0,0,1,1,20.575,0,0,1,0,1,0,0
0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
0,0,1,0,0,1,34.6542,1,0,0,0,1,0,0
0,1,1,0,0,1,63.3583,1,0,0,0,1,0,1
0,1,0,1,0,0,23,0,0,1,0,1,0,1
1,0,0,1,0,1,26,0,0,1,0,1,0,0
0,0,0,0,1,0,7.8958,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
0,1,1,0,0,1,77.2875,0,0,1,0,1,0,0
0,0,0,0,1,1,8.6542,0,0,1,0,1,0,0
2,0,0,0,1,1,7.925,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
0,0,0,0,1,0,7.65,0,0,1,0,1,0,1
0,0,0,0,1,1,7.775,0,0,1,0,0,1,1
0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
1,0,0,0,1,0,24.15,0,1,0,0,0,1,1
0,0,1,0,0,1,52,0,0,1,0,1,0,0
1,0,0,0,1,0,14.4542,1,0,0,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
1,0,0,0,1,0,9.825,0,0,1,0,1,0,0
0,0,0,0,1,0,14.4583,1,0,0,0,1,0,0
0,0,0,0,1,1,7.925,0,0,1,0,1,0,0
0,0,0,0,1,1,7.75,0,1,0,0,1,0,0
1,0,0,1,0,1,21,0,0,1,0,1,0,0
0,1,1,0,0,1,247.5208,1,0,0,0,1,0,0
4,2,0,0,1,0,31.275,0,0,1,1,0,0,0
2,0,0,1,0,1,73.5,0,0,1,0,1,0,0
0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
1,0,0,1,0,1,30.0708,1,0,0,0,1,0,0
0,0,0,1,0,0,13,0,0,1,0,1,0,1
0,1,1,0,0,1,77.2875,0,0,1,0,1,0,0
1,0,0,0,1,1,11.2417,1,0,0,0,1,0,1
0,0,0,0,1,1,7.75,0,1,0,0,0,1,0
0,0,0,0,1,1,7.1417,0,0,1,0,1,0,1
1,1,0,0,1,0,22.3583,1,0,0,0,0,1,1
0,0,0,0,1,1,6.975,0,0,1,0,1,0,0
0,0,0,0,1,1,7.8958,1,0,0,0,1,0,0
0,0,0,0,1,1,7.05,0,0,1,0,1,0,0
1,0,0,0,1,0,14.5,0,0,1,0,1,0,0
1,0,0,1,0,0,26,0,0,1,0,1,0,1
0,0,0,1,0,1,13,0,0,1,0,1,0,0
0,0,0,1,0,1,15.0458,1,0,0,0,1,0,0
0,2,1,0,0,0,26.2833,0,0,1,0,1,0,1
1,0,1,0,0,1,53.1,0,0,1,0,1,0,0
0,0,0,0,1,1,9.2167,0,0,1,0,1,0,0
0,0,1,0,0,1,79.2,1,0,0,0,1,0,0
0,2,0,0,1,0,15.2458,1,0,0,0,0,1,0
0,0,0,0,1,0,7.75,0,0,1,0,1,0,1
1,0,0,0,1,0,15.85,0,0,1,0,1,0,1
0,0,0,0,1,1,6.75,0,1,0,0,1,0,0
