"id","SibSp","Parch","Class.1","Class.2","Class.3","Gender","Fare","Embarked.C","Embarked.Q","Embarked.S","Child","Adult","Age.NA","Survived"
"1",1,0,0,0,1,1,7.25,0,0,1,0,1,0,0
"2",1,0,1,0,0,0,71.2833,1,0,0,0,1,0,1
"3",0,0,0,0,1,0,7.925,0,0,1,0,1,0,1
"4",1,0,1,0,0,0,53.1,0,0,1,0,1,0,1
"5",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"6",0,0,0,0,1,1,8.4583,0,1,0,0,0,1,0
"7",0,0,1,0,0,1,51.8625,0,0,1,0,1,0,0
"8",3,1,0,0,1,1,21.075,0,0,1,1,0,0,0
"9",0,2,0,0,1,0,11.1333,0,0,1,0,1,0,1
"10",1,0,0,1,0,0,30.0708,1,0,0,0,1,0,1
"11",1,1,0,0,1,0,16.7,0,0,1,0,1,0,1
"12",0,0,1,0,0,0,26.55,0,0,1,0,1,0,1
"13",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"14",1,5,0,0,1,1,31.275,0,0,1,0,1,0,0
"15",0,0,0,0,1,0,7.8542,0,0,1,0,1,0,0
"16",0,0,0,1,0,0,16,0,0,1,0,1,0,1
"17",4,1,0,0,1,1,29.125,0,1,0,1,0,0,0
"18",0,0,0,1,0,1,13,0,0,1,0,0,1,1
"19",1,0,0,0,1,0,18,0,0,1,0,1,0,0
"20",0,0,0,0,1,0,7.225,1,0,0,0,0,1,1
"21",0,0,0,1,0,1,26,0,0,1,0,1,0,0
"22",0,0,0,1,0,1,13,0,0,1,0,1,0,1
"23",0,0,0,0,1,0,8.0292,0,1,0,0,1,0,1
"24",0,0,1,0,0,1,35.5,0,0,1,0,1,0,1
"25",3,1,0,0,1,0,21.075,0,0,1,0,1,0,0
"26",1,5,0,0,1,0,31.3875,0,0,1,0,1,0,1
"27",0,0,0,0,1,1,7.225,1,0,0,0,0,1,0
"28",3,2,1,0,0,1,263,0,0,1,0,1,0,0
"29",0,0,0,0,1,0,7.8792,0,1,0,0,0,1,1
"30",0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
"31",0,0,1,0,0,1,27.7208,1,0,0,0,1,0,0
"32",1,0,1,0,0,0,146.5208,1,0,0,0,0,1,1
"33",0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
"34",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"35",1,0,1,0,0,1,82.1708,1,0,0,0,1,0,0
"36",1,0,1,0,0,1,52,0,0,1,0,1,0,0
"37",0,0,0,0,1,1,7.2292,1,0,0,0,0,1,1
"38",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"39",2,0,0,0,1,0,18,0,0,1,0,1,0,0
"40",1,0,0,0,1,0,11.2417,1,0,0,0,1,0,1
"41",1,0,0,0,1,0,9.475,0,0,1,0,1,0,0
"42",1,0,0,1,0,0,21,0,0,1,0,1,0,0
"43",0,0,0,0,1,1,7.8958,1,0,0,0,0,1,0
"44",1,2,0,1,0,0,41.5792,1,0,0,0,1,0,1
"45",0,0,0,0,1,0,7.8792,0,1,0,0,1,0,1
"46",0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
"47",1,0,0,0,1,1,15.5,0,1,0,0,0,1,0
"48",0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
"49",2,0,0,0,1,1,21.6792,1,0,0,0,0,1,0
"50",1,0,0,0,1,0,17.8,0,0,1,0,1,0,0
"51",4,1,0,0,1,1,39.6875,0,0,1,0,1,0,0
"52",0,0,0,0,1,1,7.8,0,0,1,0,1,0,0
"53",1,0,1,0,0,0,76.7292,1,0,0,0,1,0,1
"54",1,0,0,1,0,0,26,0,0,1,0,1,0,1
"55",0,1,1,0,0,1,61.9792,1,0,0,0,1,0,0
"56",0,0,1,0,0,1,35.5,0,0,1,0,0,1,1
"57",0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
"58",0,0,0,0,1,1,7.2292,1,0,0,0,1,0,0
"59",1,2,0,1,0,0,27.75,0,0,1,0,1,0,1
"60",5,2,0,0,1,1,46.9,0,0,1,0,1,0,0
"61",0,0,0,0,1,1,7.2292,1,0,0,0,1,0,0
"62",0,0,1,0,0,0,80,0,0,0,0,1,0,1
"63",1,0,1,0,0,1,83.475,0,0,1,0,1,0,0
"64",3,2,0,0,1,1,27.9,0,0,1,0,1,0,0
"65",0,0,1,0,0,1,27.7208,1,0,0,0,0,1,0
"66",1,1,0,0,1,1,15.2458,1,0,0,0,0,1,1
"67",0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
"68",0,0,0,0,1,1,8.1583,0,0,1,0,1,0,0
"69",4,2,0,0,1,0,7.925,0,0,1,0,1,0,1
"70",2,0,0,0,1,1,8.6625,0,0,1,0,1,0,0
"71",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"72",5,2,0,0,1,0,46.9,0,0,1,0,1,0,0
"73",0,0,0,1,0,1,73.5,0,0,1,0,1,0,0
"74",1,0,0,0,1,1,14.4542,1,0,0,0,1,0,0
"75",0,0,0,0,1,1,56.4958,0,0,1,0,1,0,1
"76",0,0,0,0,1,1,7.65,0,0,1,0,1,0,0
"77",0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
"78",0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
